#plotCorrelation --outFileCorMatrix
	'2weeks-H3K9me2'	'ctrl-H3K9me2'	'10weeks-H3K9me2'	'ctrl-H3K9me3'	'10weeks-H3K9me3'	'4weeks-H3K9me3'	'7weeks-H3K9me3'	'2weeks-H3K9me3'	'4weeks-H3K9me2'	'7weeks-H3K9me2'	'2weeks-H3K4me3'	'ctrl-H3K4me3'	'2weeks-H3K27ac'	'ctrl-H3K27ac'	'4weeks-H3K27ac'	'7weeks-H3K27ac'	'10weeks-H3K27ac'	'2weeks-H3K4me1'	'ctrl-H3K4me1'	'10weeks-H3K4me1'	'4weeks-H3K4me1'	'7weeks-H3K4me1'	'2weeks-H3K27me3'	'4weeks-H3K27me3'	'ctrl-H3K27me3'	'10weeks-H3K27me3'	'7weeks-H3K27me3'	'10weeks-H3K4me3'	'4weeks-H3K4me3'	'7weeks-H3K4me3'
'2weeks-H3K9me2'	1.0000	0.9212	0.5958	0.5371	0.4692	0.5418	0.4975	0.6208	0.8545	0.8091	0.1918	0.1498	0.0949	0.1212	0.0899	0.0977	0.0410	0.0635	0.0584	0.0207	0.0203	0.0276	0.4460	0.4504	0.4593	0.4546	0.4690	0.2238	0.1902	0.2331
'ctrl-H3K9me2'	0.9212	1.0000	0.6448	0.5702	0.5327	0.5972	0.5607	0.6605	0.8869	0.8577	0.1379	0.0778	0.0203	0.0319	0.0111	0.0156	-0.0421	-0.0169	-0.0382	-0.0703	-0.0683	-0.0656	0.3791	0.3953	0.4028	0.4119	0.4231	0.2221	0.1485	0.2110
'10weeks-H3K9me2'	0.5958	0.6448	1.0000	0.6372	0.5628	0.6338	0.6297	0.7002	0.6404	0.6459	0.1458	0.0584	-0.0828	-0.0640	-0.0900	-0.0796	-0.1098	-0.1222	-0.1492	-0.1797	-0.1857	-0.1890	0.1867	0.1971	0.1930	0.2515	0.2263	0.3843	0.2273	0.3605
'ctrl-H3K9me3'	0.5371	0.5702	0.6372	1.0000	0.7156	0.7307	0.7156	0.8363	0.5386	0.5345	0.2193	0.1840	-0.0036	0.0235	-0.0161	-0.0022	-0.0026	-0.0376	-0.0607	-0.0819	-0.1000	-0.1028	0.1828	0.1724	0.1646	0.2345	0.1807	0.4469	0.2731	0.3771
'10weeks-H3K9me3'	0.4692	0.5327	0.5628	0.7156	1.0000	0.9365	0.9218	0.8374	0.6642	0.7066	-0.2768	-0.2997	-0.4576	-0.4390	-0.4483	-0.4282	-0.4183	-0.4816	-0.4816	-0.4621	-0.5039	-0.4970	-0.1643	-0.1171	-0.1411	-0.0597	-0.0803	0.1356	-0.1780	-0.0448
'4weeks-H3K9me3'	0.5418	0.5972	0.6338	0.7307	0.9365	1.0000	0.9250	0.8719	0.7197	0.7516	-0.2322	-0.2664	-0.4307	-0.4040	-0.4223	-0.4019	-0.4116	-0.4545	-0.4539	-0.4550	-0.4849	-0.4771	-0.1126	-0.0644	-0.0804	-0.0104	-0.0196	0.1456	-0.1284	0.0105
'7weeks-H3K9me3'	0.4975	0.5607	0.6297	0.7156	0.9218	0.9250	1.0000	0.8441	0.6822	0.7194	-0.2295	-0.2666	-0.4310	-0.4088	-0.4230	-0.4044	-0.4105	-0.4564	-0.4596	-0.4580	-0.4871	-0.4817	-0.1281	-0.0818	-0.1015	-0.0284	-0.0404	0.1583	-0.1226	0.0201
'2weeks-H3K9me3'	0.6208	0.6605	0.7002	0.8363	0.8374	0.8719	0.8441	1.0000	0.6944	0.7032	0.0193	-0.0261	-0.2165	-0.1826	-0.2213	-0.2021	-0.2102	-0.2482	-0.2572	-0.2763	-0.3013	-0.2973	0.0866	0.1090	0.1010	0.1736	0.1408	0.3250	0.0945	0.2234
'4weeks-H3K9me2'	0.8545	0.8869	0.6404	0.5386	0.6642	0.7197	0.6822	0.6944	1.0000	0.9304	-0.0916	-0.1423	-0.2157	-0.1975	-0.2113	-0.2010	-0.2510	-0.2468	-0.2503	-0.2684	-0.2785	-0.2702	0.1934	0.2363	0.2319	0.2552	0.2782	0.1067	-0.0431	0.0455
'7weeks-H3K9me2'	0.8091	0.8577	0.6459	0.5345	0.7066	0.7516	0.7194	0.7032	0.9304	1.0000	-0.1552	-0.2107	-0.2842	-0.2711	-0.2804	-0.2722	-0.3158	-0.3165	-0.3216	-0.3347	-0.3469	-0.3411	0.1235	0.1728	0.1658	0.2010	0.2216	0.0945	-0.0964	0.0055
