gene_name	823-RNA_L8	824-RNA_L8	825-RNA_L8	826-RNA_L8	828-RNA_L8	829-RNA_L8	830-RNA_L8	831-RNA_L8	832-RNA_L8	835-RNA_L8	836-RNA_L8	839-RNA_L8	840-RNA_L8	841-RNA_L8	847-RNA_L8
ENSMUSG00000000001.4	3800	1974	2939	3059	3861	2120	4302	1823	3250	3922	4583	3778	3898	3022	3902	
ENSMUSG00000000003.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000000028.14	85	79	157	376	139	99	192	82	254	292	465	161	346	287	305	
ENSMUSG00000000031.15	2850	7	396	52	17	8	8	17	276	106	2192	216	1048	393	694	
ENSMUSG00000000037.16	25	5	41	10	3	2	13	8	10	3	5	0	3	15	4	
ENSMUSG00000000049.11	9	1	1	3	9	6	7	4	5	1	3	6	0	0	2	
ENSMUSG00000000056.7	1195	664	1362	529	957	483	1358	741	1065	1073	1134	993	841	709	1118	
ENSMUSG00000000058.6	346	253	567	306	437	58	343	204	353	384	315	313	263	413	244	
ENSMUSG00000000078.6	6021	2533	4379	4014	4210	3093	4883	3369	3636	4527	3946	4325	3740	3421	3156	
ENSMUSG00000000085.16	766	477	1241	1077	1108	452	951	583	1053	1295	1742	731	1298	996	1545	
ENSMUSG00000000088.7	4824	2487	4884	4849	6527	4423	7074	3889	5549	2171	3670	1970	2443	2128	2647	
ENSMUSG00000000093.6	151	141	313	142	224	77	311	124	217	156	202	202	151	212	168	
ENSMUSG00000000094.12	9	7	11	3	14	2	5	5	13	23	37	32	37	25	43	
ENSMUSG00000000103.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000000120.6	127	150	384	314	225	55	164	45	84	191	33	226	110	246	57	
ENSMUSG00000000125.5	4	0	1	3	2	2	3	3	24	48	74	22	54	29	131	
ENSMUSG00000000126.11	47	39	112	35	22	6	13	10	12	42	11	14	25	41	10	
ENSMUSG00000000127.14	246	173	275	206	333	146	313	186	290	296	298	271	258	237	216	
ENSMUSG00000000131.15	1134	541	1488	997	1048	571	1278	618	1119	1484	1771	1062	1522	1192	1433	
ENSMUSG00000000134.17	938	471	1010	973	988	488	917	397	678	1023	1218	834	1117	961	1066	
ENSMUSG00000000142.15	590	331	863	120	158	180	604	216	999	6632	7666	4469	5376	2906	6316	
ENSMUSG00000000148.17	345	204	562	278	319	207	347	221	376	350	449	344	356	317	396	
ENSMUSG00000000149.10	792	506	1394	805	617	563	773	436	936	1059	1201	912	1017	756	1204	
ENSMUSG00000000154.16	1695	793	1770	1736	2671	2696	2412	1602	2107	876	1340	1008	1055	833	1160	
ENSMUSG00000000157.15	32	18	23	18	112	18	37	14	25	30	22	24	24	36	24	
ENSMUSG00000000159.15	1018	572	757	1670	2283	1090	1705	1038	1466	903	979	776	943	579	933	
ENSMUSG00000000167.14	31	17	24	29	31	15	49	13	28	24	46	26	41	23	49	
ENSMUSG00000000168.9	2344	1204	2308	1685	2234	1003	2842	1135	2212	1672	1870	1485	1595	1125	1415	
ENSMUSG00000000171.5	7698	3522	7464	6844	7699	5654	10286	5892	9300	3310	4730	3625	3987	2669	3714	
ENSMUSG00000000182.9	0	0	0	5	0	0	0	0	0	0	0	0	4	3	0	
ENSMUSG00000000183.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000000184.12	5479	3536	7110	2542	4570	840	3692	1429	3221	4652	5959	4659	4927	3099	5567	
ENSMUSG00000000194.13	1710	900	1921	1523	2139	1324	2059	1059	1641	1298	1596	1280	1466	1104	1290	
ENSMUSG00000000197.7	16	24	37	36	29	13	15	9	14	4	3	4	5	7	1	
ENSMUSG00000000202.9	9	3	8	6	1	3	4	1	4	127	284	30	49	86	146	
ENSMUSG00000000204.16	887	373	942	2516	2927	831	3499	5638	5962	2507	4544	1848	1992	2396	1554	
ENSMUSG00000000214.11	3	1	3	1	0	9	0	5	0	4	10	2	5	3	4	
ENSMUSG00000000215.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000000216.8	1355	919	284	84	135	4	173	175	234	55	130	437	75	28	87	
ENSMUSG00000000223.13	54	14	75	24	29	8	15	9	18	35	27	19	29	7	10	
ENSMUSG00000000244.17	30	11	16	122	23	16	36	21	179	60	430	88	109	92	193	
ENSMUSG00000000247.11	8	10	5	0	1	0	1	1	2	2	7	3	15	1	5	
ENSMUSG00000000248.16	1	0	0	1	0	0	1	6	0	0	0	0	0	12	0	
ENSMUSG00000000253.12	1104	638	1428	418	787	175	774	296	566	651	1157	258	669	644	859	
ENSMUSG00000000263.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000000266.11	972	500	963	477	1032	600	849	460	681	593	852	697	659	464	499	
ENSMUSG00000000275.16	2733	1284	2127	2657	3469	1767	3397	2126	2793	2258	2982	1918	2127	1751	1895	
ENSMUSG00000000276.11	192	85	307	155	160	63	139	95	146	180	188	191	195	148	180	
ENSMUSG00000000278.10	706	343	1063	726	581	540	708	329	697	531	849	590	596	494	493	
ENSMUSG00000000282.12	565	383	854	743	719	358	643	330	614	1085	1306	760	940	774	1010	
ENSMUSG00000000290.13	135	42	138	440	232	52	271	113	414	416	827	377	455	436	420	
ENSMUSG00000000295.13	354	156	507	469	226	248	563	262	570	280	464	208	311	294	322	
ENSMUSG00000000296.8	72	51	90	81	69	106	54	34	52	38	92	56	36	51	57	
ENSMUSG00000000301.16	62	39	88	107	67	39	78	54	101	52	94	34	59	43	82	
ENSMUSG00000000303.12	20041	10327	16527	16894	29241	11807	24164	13161	17638	20502	28131	17570	20266	17686	22459	
ENSMUSG00000000305.12	22	26	37	5	7	3	12	4	4	12	14	8	2	12	4	
ENSMUSG00000000308.14	57456	28708	52644	39687	110072	15048	87687	39162	63767	9423	17483	17363	14117	10381	11268	
ENSMUSG00000000317.11	71	40	125	24	27	15	26	18	32	40	56	29	53	72	75	
ENSMUSG00000000318.16	80	32	99	53	55	5	18	20	24	9	20	25	26	22	13	
ENSMUSG00000000320.10	114	15	38	19	31	22	93	15	196	2075	3100	658	1623	2126	2996	
ENSMUSG00000000325.15	213	124	445	339	208	121	171	116	172	400	453	280	334	314	378	
ENSMUSG00000000326.12	2195	1265	2757	1293	1598	944	2184	1052	1812	1978	2659	1640	2009	1569	2166	
ENSMUSG00000000339.14	489	280	613	323	530	457	584	288	461	332	515	266	350	287	309	
ENSMUSG00000000340.10	521	252	589	306	326	226	585	196	413	283	468	296	334	216	310	
ENSMUSG00000000346.8	9991	5271	9183	7916	8076	5904	10400	5378	9139	6679	8406	6205	6258	5654	7539	
ENSMUSG00000000355.13	761	317	882	595	577	441	633	473	863	512	580	415	439	358	496	
ENSMUSG00000000359.3	94	33	132	39	42	20	32	24	46	13	28	25	15	12	15	
ENSMUSG00000000365.8	2	4	1	2	1	0	1	0	0	0	1	0	0	0	0	
ENSMUSG00000000374.7	2154	1016	2137	1731	2989	944	2428	1188	1794	1497	1599	1448	1698	1358	1387	
ENSMUSG00000000378.15	707	412	1100	875	798	398	917	460	1001	777	1176	594	783	609	832	
