10000_at, AKT3
10001_at, MED6
10002_at, NR2E3
10003_at, NAALAD2
100048912_at, CDKN2B-AS1
10004_at, NAALADL1
10005_at, ACOT8
10006_at, ABI1
10007_at, GNPDA1
10009_at, ZBTB33
1000_at, CDH2
10010_at, TANK
100126791_at, EGOT
100128124_at, HGC6.3
100128640_at, ACVR2B-AS1
100129128_at, KHDC1L
100129250_at, TOPORS-AS1
100129271_at, C1orf68
100129361_at, LOC100129361
100129460_at, DPY19L1P1
100129482_at, ZNF37BP
100129502_at, NA
100130100_at, LOC100130100
100130331_at, LOC100130331
100130449_at, PP14571
100131825_at, LOC100131825
100131827_at, ZNF717
100132341_at, CLUHP3
100132476_at, KRTAP4-7
100134713_at, NDUFB2-AS1
100137047_at, JMJD7
10013_at, HDAC6
10014_at, HDAC5
10015_at, PDCD6IP
10016_at, PDCD6
10017_at, BCL2L10
100188893_at, TOMM6
10018_at, BCL2L11
10019_at, SH2B3
1001_at, CDH3
10020_at, GNE
10021_at, HCN4
10022_at, INSL5
10023_at, FRAT1
10024_at, TROAP
10025_at, MED16
10026_at, PIGK
100272147_at, CMC4
100287932_at, TIMM23
100288413_at, ERVMER34-1
100288679_at, NA
100289410_at, MCF2L-AS1
100289678_at, ZNF783
100293516_at, ZNF587B
1002_at, CDH4
100316904_at, SAP25
10036_at, CHAF1A
10038_at, PARP2
10039_at, PARP3
1003_at, CDH5
10040_at, TOM1L1
10042_at, HMGXB4
10043_at, TOM1
10045_at, SH2D3A
10046_at, MAMLD1
10047_at, CST8
10048_at, RANBP9
100499177_at, THAP9-AS1
10049_at, DNAJB6
1004_at, CDH6
100505487_at, NA
100505650_at, LOC100505650
100505741_at, SPATA1
100505761_at, LOC100505761
100505763_at, NA
100505870_at, LOC100505870
100505879_at, KIF25-AS1
100505933_at, ADD3-AS1
100505960_at, NA
100506124_at, LOC100506124
100506144_at, ZMYM6NB
100506168_at, NA
100506190_at, LINC00963
100506358_at, LOC100506358
100506469_at, LOC100506469
100506504_at, LOC100506504
100506571_at, LOC100506571
100506581_at, C16orf95
100506863_at, CLTC-IT1
100506898_at, MAGOH2
100506935_at, NA
100506963_at, LOC100506963
100506972_at, NA
100507009_at, NA
100507164_at, NA
100507229_at, NA
100507314_at, NA
100507331_at, ZSWIM8-AS1
100507399_at, HCG8
100507424_at, LOC100507424
100507436_at, MICA
100507605_at, LINC00837
100507619_at, NA
100507630_at, LOC100507630
10050_at, SLC17A4
10051_at, SMC4
10052_at, GJC1
100533107_at, RTEL1-TNFRSF6B
10053_at, AP1M2
10054_at, UBA2
10055_at, SAE1
10057_at, ABCC5
10058_at, ABCB6
10059_at, DNM1L
1005_at, CDH7
10060_at, ABCC9
10061_at, ABCF2
10062_at, NR1H3
100652765_at, NA
100652789_at, NA
100652931_at, LOC100652931
100653021_at, LOC100653021
10066_at, SCAMP2
10067_at, SCAMP3
10069_at, RWDD2B
1006_at, CDH8
10072_at, DPP3
10073_at, SNUPN
10075_at, HUWE1
10076_at, PTPRU
10077_at, TSPAN32
10078_at, TSSC4
10079_at, ATP9A
1007_at, CDH9
10083_at, USH1C
10084_at, PQBP1
10085_at, EDIL3
10086_at, HHLA1
10087_at, COL4A3BP
10089_at, KCNK7
1008_at, CDH10
10090_at, UST
10092_at, ARPC5
10093_at, ARPC4
10095_at, ARPC1B
10096_at, ACTR3
10097_at, ACTR2
10098_at, TSPAN5
10099_at, TSPAN3
1009_at, CDH11
100_at, ADA
10100_at, TSPAN2
10101_at, NUBP2
10102_at, TSFM
10103_at, TSPAN1
10105_at, PPIF
10106_at, CTDSP2
10107_at, TRIM10
10109_at, ARPC2
1010_at, CDH12
10110_at, SGK2
10111_at, RAD50
10112_at, KIF20A
10113_at, PREB
10114_at, HIPK3
10116_at, FEM1B
10120_at, ACTR1B
10121_at, ACTR1A
10123_at, ARL4C
10125_at, RASGRP1
10126_at, DNAL4
10127_at, ZNF263
10128_at, LRPPRC
10129_at, FRY
1012_at, CDH13
10130_at, PDIA6
10131_at, TRAP1
10133_at, OPTN
10134_at, BCAP31
10135_at, NAMPT
10136_at, CELA3A
10137_at, RBM12
10138_at, YAF2
10139_at, ARFRP1
1013_at, CDH15
10140_at, TOB1
10141_at, C4orf6
10142_at, AKAP9
10144_at, FAM13A
10146_at, G3BP1
10147_at, SUGP2
10148_at, EBI3
10149_at, GPR64
1014_at, CDH16
10150_at, MBNL2
10151_at, HNRNPA3P1
10152_at, ABI2
10153_at, CEBPZ
10154_at, PLXNC1
10155_at, TRIM28
10157_at, AASS
10158_at, PDZK1IP1
10159_at, ATP6AP2
