gene_name	transcript_id
4933401J01Rik	ENSMUST00000193812.1
Gm26206	ENSMUST00000082908.1
Xkr4	ENSMUST00000070533.4
Gm18956	ENSMUST00000192857.1
Gm37180	ENSMUST00000195335.1
Gm37363	ENSMUST00000192336.1
Gm37686	ENSMUST00000194099.1
Gm1992	ENSMUST00000161581.1
Gm37329	ENSMUST00000192973.1
Gm7341	ENSMUST00000192183.1
Gm38148	ENSMUST00000195166.1
Gm19938	ENSMUST00000192692.1
Gm10568	ENSMUST00000193244.1
Gm38385	ENSMUST00000194454.1
Gm27396	ENSMUST00000157708.2
Gm37381	ENSMUST00000194643.1
Gm37381	ENSMUST00000192427.1
Rp1	ENSMUST00000208660.1
Rp1	ENSMUST00000027032.5
Gm6101	ENSMUST00000195384.1
Gm37483	ENSMUST00000194382.1
Sox17	ENSMUST00000027035.9
Sox17	ENSMUST00000195555.1
Sox17	ENSMUST00000192650.5
Sox17	ENSMUST00000116652.7
Gm37587	ENSMUST00000194935.1
Gm7357	ENSMUST00000195361.1
Gm22307	ENSMUST00000180019.1
Gm38076	ENSMUST00000193889.1
Gm37323	ENSMUST00000195771.1
Gm7369	ENSMUST00000192738.1
Gm6085	ENSMUST00000182774.1
Gm6119	ENSMUST00000193443.1
Gm25493	ENSMUST00000157375.1
Gm2053	ENSMUST00000195671.1
Gm6123	ENSMUST00000193658.1
Mrpl15	ENSMUST00000130201.7
Mrpl15	ENSMUST00000156816.6
Mrpl15	ENSMUST00000146665.2
Gm37144	ENSMUST00000195445.1
Lypla1	ENSMUST00000027036.10
Lypla1	ENSMUST00000150971.7
Lypla1	ENSMUST00000119612.8
Lypla1	ENSMUST00000115529.7
Gm37988	ENSMUST00000155020.1
Tcea1	ENSMUST00000081551.13
Tcea1	ENSMUST00000165720.2
Gm6104	ENSMUST00000078030.4
Gm37277	ENSMUST00000194052.1
Rgs20	ENSMUST00000002533.14
Rgs20	ENSMUST00000118000.7
Rgs20	ENSMUST00000119256.7
Gm17100	ENSMUST00000168963.1
Gm37079	ENSMUST00000194114.1
Gm16041	ENSMUST00000144339.1
Gm17101	ENSMUST00000169520.1
Atp6v1h	ENSMUST00000192847.5
Atp6v1h	ENSMUST00000044369.12
Atp6v1h	ENSMUST00000192698.2
Gm7182	ENSMUST00000193351.1
Gm37567	ENSMUST00000193241.1
Gm38264	ENSMUST00000194850.1
Oprk1	ENSMUST00000160777.7
Oprk1	ENSMUST00000239100.1
Oprk1	ENSMUST00000027038.10
Oprk1	ENSMUST00000160339.1
Gm36965	ENSMUST00000193797.1
Gm22463	ENSMUST00000175274.1
Gm37429	ENSMUST00000193807.1
Npbwr1	ENSMUST00000044180.4
Gm19214	ENSMUST00000191956.1
Rb1cc1	ENSMUST00000027040.12
4732440D04Rik	ENSMUST00000191825.1
4732440D04Rik	ENSMUST00000159618.1
Alkal1	ENSMUST00000133144.3
Gm2147	ENSMUST00000193588.1
Gm7417	ENSMUST00000192950.1
Gm19026	ENSMUST00000194240.1
St18	ENSMUST00000140079.7
St18	ENSMUST00000131494.7
St18	ENSMUST00000043578.12
St18	ENSMUST00000150761.7
St18	ENSMUST00000151281.7
St18	ENSMUST00000163727.3
Gm42492	ENSMUST00000195780.2
Gm7449	ENSMUST00000194393.1
Gm37108	ENSMUST00000194605.1
Gm37275	ENSMUST00000191703.1
Gm37225	ENSMUST00000193423.1
Gm37489	ENSMUST00000191883.1
Gm5694	ENSMUST00000195648.1
Pcmtd1	ENSMUST00000061280.16
Gm26983	ENSMUST00000182051.1
Gm38372	ENSMUST00000194854.1
Gm9826	ENSMUST00000029124.7
Nras-ps2	ENSMUST00000195269.1
Gm23274	ENSMUST00000104056.1
Gm19002	ENSMUST00000192649.1
Gm26901	ENSMUST00000181554.1
Gm26901	ENSMUST00000193106.5
Gm26901	ENSMUST00000193732.1
Gm18984	ENSMUST00000193998.1
Gm30414	ENSMUST00000194886.1
Gm37791	ENSMUST00000195081.1
Gm7470	ENSMUST00000194219.1
Rps2-ps2	ENSMUST00000194305.1
Gm38216	ENSMUST00000194872.1
Sntg1	ENSMUST00000132064.7
Sntg1	ENSMUST00000191683.5
Sntg1	ENSMUST00000140295.7
Sntg1	ENSMUST00000115488.2
Gm38024	ENSMUST00000192338.1
Gm16284	ENSMUST00000140995.1
Gm38259	ENSMUST00000194602.1
Gm23358	ENSMUST00000103887.2
Gm37005	ENSMUST00000193281.1
Gm15452	ENSMUST00000119877.1
Gm36964	ENSMUST00000191876.1
Gm24276	ENSMUST00000102181.1
Gm6152	ENSMUST00000151704.1
Gm7445	ENSMUST00000192115.1
Gm7493	ENSMUST00000085919.2
Gm37629	ENSMUST00000193635.1
Gm38008	ENSMUST00000195333.1
Gm37143	ENSMUST00000195180.1
Gm6187	ENSMUST00000040649.6
Gm18299	ENSMUST00000192026.1
Gm7512	ENSMUST00000195217.1
Gm24765	ENSMUST00000083691.1
Gm18300	ENSMUST00000192792.1
Rrs1	ENSMUST00000072079.8
Adhfe1	ENSMUST00000144177.7
2610203C22Rik	ENSMUST00000115480.7
2610203C22Rik	ENSMUST00000148585.7
Gm6161	ENSMUST00000121942.1
Vxn	ENSMUST00000088666.3
Gm29520	ENSMUST00000191209.1
Mybl1	ENSMUST00000088658.10
Mybl1	ENSMUST00000115468.8
Vcpip1	ENSMUST00000057438.6
1700034P13Rik	ENSMUST00000181358.7
1700034P13Rik	ENSMUST00000189431.1
1700034P13Rik	ENSMUST00000207445.1
Sgk3	ENSMUST00000166384.7
Sgk3	ENSMUST00000168907.7
Sgk3	ENSMUST00000171265.7
Sgk3	ENSMUST00000097826.5
Gm6195	ENSMUST00000063059.4
Gm22607	ENSMUST00000158291.1
Mcmdc2	ENSMUST00000052843.11
Mcmdc2	ENSMUST00000171802.7
Mcmdc2	ENSMUST00000125294.8
Mcmdc2	ENSMUST00000140948.8
Mcmdc2	ENSMUST00000118098.2
Snhg6	ENSMUST00000182580.7
Snhg6	ENSMUST00000182819.7
Snord87	ENSMUST00000175437.1
Tcf24	ENSMUST00000185184.1
Tcf24	ENSMUST00000097824.2
E330040D14Rik	ENSMUST00000192299.1
Ppp1r42	ENSMUST00000027049.9
Gm15818	ENSMUST00000134692.1
Gm24674	ENSMUST00000179194.1
Cops5	ENSMUST00000027050.9
Cspp1	ENSMUST00000071087.11
Cspp1	ENSMUST00000117415.7
Cspp1	ENSMUST00000118263.7
Cspp1	ENSMUST00000122156.7
Cspp1	ENSMUST00000119714.7
Cspp1	ENSMUST00000186294.6
1700047N06Rik	ENSMUST00000194474.1
Arfgef1	ENSMUST00000088615.10
Arfgef1	ENSMUST00000131556.1
Gm26348	ENSMUST00000157528.1
Gm37569	ENSMUST00000192111.1
Cpa6	ENSMUST00000035577.6
Gm38005	ENSMUST00000194845.1
Gm15604	ENSMUST00000118350.1
Gm25253	ENSMUST00000179958.1
Gm15603	ENSMUST00000119252.1
Gm37133	ENSMUST00000192705.1
Gm5522	ENSMUST00000189483.1
Gm28659	ENSMUST00000188013.1
Gm22963	ENSMUST00000157960.1
Prex2	ENSMUST00000027056.11
Gm24173	ENSMUST00000104130.1
Gm28686	ENSMUST00000187404.1
Gm37410	ENSMUST00000193623.1
A830018L16Rik	ENSMUST00000171690.8
A830018L16Rik	ENSMUST00000048613.13
A830018L16Rik	ENSMUST00000135014.7
A830018L16Rik	ENSMUST00000137824.7
A830018L16Rik	ENSMUST00000179089.7
Gm38178	ENSMUST00000194502.1
Gm29273	ENSMUST00000188880.1
Gm38069	ENSMUST00000195360.1
Gm7560	ENSMUST00000187748.1
Gm22633	ENSMUST00000179834.1
Mir6341	ENSMUST00000183490.1
Gm2383	ENSMUST00000181461.1
Gm6216	ENSMUST00000182390.1
Gm17644	ENSMUST00000181272.1
Gm29663	ENSMUST00000186962.1
Sulf1	ENSMUST00000177608.7
Sulf1	ENSMUST00000180062.7
Sulf1	ENSMUST00000186051.6
Sulf1	ENSMUST00000088585.9
Slco5a1	ENSMUST00000188454.6
Slco5a1	ENSMUST00000115403.8
Slco5a1	ENSMUST00000115402.7
Slco5a1	ENSMUST00000136197.7
Slco5a1	ENSMUST00000146763.7
Slco5a1	ENSMUST00000147606.2
Gm37162	ENSMUST00000191708.1
Gm5250	ENSMUST00000059065.9
Gm29283	ENSMUST00000187394.1
Prdm14	ENSMUST00000047577.6
Ncoa2	ENSMUST00000081713.10
Ncoa2	ENSMUST00000068304.12
Ncoa2	ENSMUST00000006037.12
Gm38376	ENSMUST00000195493.1
Gm37409	ENSMUST00000195811.1
Gm27881	ENSMUST00000183805.1
Gm38223	ENSMUST00000194484.1
Gm37702	ENSMUST00000194357.1
Gm23169	ENSMUST00000157157.1
Gm38120	ENSMUST00000195506.1
Gm38380	ENSMUST00000195718.1
Gm29570	ENSMUST00000185813.1
Gm7593	ENSMUST00000187246.1
Tram1	ENSMUST00000027068.10
Lactb2	ENSMUST00000027071.6
Gm38319	ENSMUST00000194537.1
Xkr9	ENSMUST00000088542.3
Gm26273	ENSMUST00000104180.1
Gm5523	ENSMUST00000180415.1
Gm36947	ENSMUST00000194709.1
Gm25491	ENSMUST00000158733.1
Gm37400	ENSMUST00000193148.1
Eya1	ENSMUST00000027066.12
Eya1	ENSMUST00000168081.8
Eya1	ENSMUST00000080664.13
Eya1	ENSMUST00000190337.6
Gm22616	ENSMUST00000179783.1
Gm37444	ENSMUST00000193605.1
Gm9947	ENSMUST00000187401.1
Gm9947	ENSMUST00000067599.1
Msc	ENSMUST00000027062.6
Gm37412	ENSMUST00000194866.1
Smt3h2-ps4	ENSMUST00000121569.1
Rpl5-ps1	ENSMUST00000121367.1
Trpa1	ENSMUST00000041447.4
Trpa1	ENSMUST00000235071.1
Gm26345	ENSMUST00000157534.1
Gm10566	ENSMUST00000086739.5
Kcnb2	ENSMUST00000175681.2
Kcnb2	ENSMUST00000170146.2
Gm38116	ENSMUST00000193873.1
Gm37138	ENSMUST00000194564.1
Gm25227	ENSMUST00000158204.1
Gm25168	ENSMUST00000104189.1
Gm6060	ENSMUST00000188671.1
Gm28669	ENSMUST00000188400.1
Terf1	ENSMUST00000188371.6
Terf1	ENSMUST00000027057.7
Gm37509	ENSMUST00000194867.1
Sbspon	ENSMUST00000040695.4
Gm23259	ENSMUST00000158318.1
Gm7634	ENSMUST00000185778.1
4930444P10Rik	ENSMUST00000115367.7
4930444P10Rik	ENSMUST00000145070.7
4930444P10Rik	ENSMUST00000151004.1
Rpl7	ENSMUST00000058437.13
Rdh10	ENSMUST00000027053.7
Gm38249	ENSMUST00000192560.1
Gm28095	ENSMUST00000186343.1
Stau2	ENSMUST00000162751.7
Stau2	ENSMUST00000054668.12
Stau2	ENSMUST00000162627.7
Stau2	ENSMUST00000027052.12
Stau2	ENSMUST00000162435.7
Stau2	ENSMUST00000159558.7
Stau2	ENSMUST00000128957.8
Stau2	ENSMUST00000131257.8
Stau2	ENSMUST00000162007.7
Stau2	ENSMUST00000149320.8
Stau2	ENSMUST00000115359.9
Stau2	ENSMUST00000145092.7
Stau2	ENSMUST00000144138.3
Gm7568	ENSMUST00000161626.1
Gm7568	ENSMUST00000160446.7
Ube2w	ENSMUST00000182554.8
Ube2w	ENSMUST00000117146.8
Gm38342	ENSMUST00000195710.1
Eloc	ENSMUST00000188641.6
Eloc	ENSMUST00000115352.9
Eloc	ENSMUST00000186948.6
Eloc	ENSMUST00000187910.6
Eloc	ENSMUST00000185771.6
D030040B21Rik	ENSMUST00000181371.1
Gm7654	ENSMUST00000186738.1
Tmem70	ENSMUST00000177501.1
Tmem70	ENSMUST00000065373.5
Ly96	ENSMUST00000026881.10
Ly96	ENSMUST00000190366.1
Gm29649	ENSMUST00000185649.1
Gm5828	ENSMUST00000071842.9
Gm28376	ENSMUST00000186604.1
4921511E07Rik	ENSMUST00000194790.1
Jph1	ENSMUST00000038382.4
Gm28783	ENSMUST00000188872.1
Gdap1	ENSMUST00000026879.7
Gm28784	ENSMUST00000187817.1
Gm28785	ENSMUST00000187478.1
Gm5251	ENSMUST00000188959.1
Rbm6-ps1	ENSMUST00000186192.1
Gm6075	ENSMUST00000186816.1
Gm25166	ENSMUST00000158909.1
Pi15	ENSMUST00000088476.3
Gm28154	ENSMUST00000186267.1
Gm16070	ENSMUST00000155588.7
Gm16070	ENSMUST00000127328.1
Gm16070	ENSMUST00000149914.1
Crispld1	ENSMUST00000159958.7
Crispld1	ENSMUST00000095075.4
Gm28153	ENSMUST00000189853.1
Gm7690	ENSMUST00000190885.1
Gm18775	ENSMUST00000190763.1
Gm17969	ENSMUST00000185706.1
Gm28756	ENSMUST00000209405.1
Gm28755	ENSMUST00000185773.1
Gm45784	ENSMUST00000188360.1
Crisp4	ENSMUST00000026876.12
Crisp4	ENSMUST00000115340.7
Crisp4	ENSMUST00000115344.1
Defb44-ps	ENSMUST00000126871.1
Defb18	ENSMUST00000097818.1
Defb41	ENSMUST00000088463.1
Defb41	ENSMUST00000097817.3
Gm17837	ENSMUST00000186435.1
Gm5252	ENSMUST00000189030.1
Gm24075	ENSMUST00000158175.1
Gm28343	ENSMUST00000185386.1
Gm28344	ENSMUST00000185704.1
Gm15825	ENSMUST00000159108.2
Tfap2d	ENSMUST00000037294.7
Gm10075	ENSMUST00000162030.1
Tfap2b	ENSMUST00000027059.10
Tfap2b	ENSMUST00000187754.6
Tfap2b	ENSMUST00000064976.5
Gm28340	ENSMUST00000189218.1
Gm28341	ENSMUST00000190883.1
Gm4849	ENSMUST00000188428.1
Gm24633	ENSMUST00000122719.1
Gm38382	ENSMUST00000193790.1
Pkhd1	ENSMUST00000088448.11
Gm37315	ENSMUST00000194347.1
4930486I03Rik	ENSMUST00000161509.2
Gm15795	ENSMUST00000160969.2
Gm24162	ENSMUST00000093665.1
Gm28653	ENSMUST00000227082.1
Gm28653	ENSMUST00000185494.1
Mir206	ENSMUST00000083625.1
Mir133b	ENSMUST00000083546.1
Il17a	ENSMUST00000027061.4
Il17f	ENSMUST00000039046.9
Mcm3	ENSMUST00000053266.10
Gm20587	ENSMUST00000186367.1
