	DISEASE/TRAIT	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	SNP_GENE_IDS	SNPS	P-VALUE	OR or BETA
2371	Colorectal cancer	20p12.3	20	7831703	PLCB1, HAO1	RN7SL547P - AL031679.1		rs2423279	7E-9	1.1
2372	Colorectal cancer	12p13.32	12	4259186	C12orf5, CCND2, FGF6, RAD51AP1, FGF23, PARP11	CCND2-AS1	ENSG00000255920	rs10774214	5E-10	1.17
2373	Colorectal cancer	5q31.1	5	135163402	CATSPER3, PCBD2, MIR4461 and H2AFY, PITX1	C5orf66	ENSG00000224186	rs647161	4E-10	1.17
2385	Colorectal cancer	8q24.21	8	127401060	MYC	CCAT2, CASC8, PCAT1, POU5F1B	ENSG00000280997, ENSG00000246228, ENSG00000253438, ENSG00000212993	rs6983267	1E-11	1.13
2388	Colorectal cancer	18q21.1	18	48927093	SMAD7	SMAD7	ENSG00000101665	rs4939827	2E-10	1.12
2430	Colorectal cancer	5q31.1	5	135163402	CATSPER3, PCBD2, MIR4461 and H2AFY, PITX1	C5orf66	ENSG00000224186	rs647161	1E-10	1.11
3321	Colorectal cancer	10p14	10	8659256	intergenic	RNA5SP299 - AL355333.1		rs10795668	3E-13	1.12
3322	Colorectal cancer	8q23.3	8	116618444	EIF3H	AC105177.1 - EIF3H		rs16892766	3E-18	1.27
3338	Colorectal cancer	8q24.21	8	127412547	POU5FIP1, HsG57825, DQ515897	PCAT1, POU5F1B, CASC8	ENSG00000253438, ENSG00000212993, ENSG00000246228	rs7014346	9E-26	1.19
3339	Colorectal cancer	11q23.1	11	111300984	intergenic	COLCA2, COLCA1	ENSG00000214290, ENSG00000196167	rs3802842	6E-10	1.11
3340	Colorectal cancer	18q21.1	18	48927093	SMAD7	SMAD7	ENSG00000101665	rs4939827	8E-28	1.2
3397	Colorectal cancer	18q21.1	18	48927093	SMAD7	SMAD7	ENSG00000101665	rs4939827	1E-12	1.16
3410	Colorectal cancer	8q24.21	8	127401060	intergenic	CCAT2, CASC8, PCAT1, POU5F1B	ENSG00000280997, ENSG00000246228, ENSG00000253438, ENSG00000212993	rs6983267	1E-14	1.27
3411	Colorectal cancer	8q24.21	8	127395198	ORF DQ515897	PCAT1, CASC8, POU5F1B	ENSG00000253438, ENSG00000246228, ENSG00000212993	rs10505477	3E-11	1.17
4167	Colorectal cancer	1q41	1	221872104	DUSP10	LINC01655 - LINC02257		rs6691170	1E-9	1.06
4169	Colorectal cancer	12q13.12	12	50761880	DIP2B, ATF1	AC013244.1 - ATF1		rs11169552	2E-10	1.09
4170	Colorectal cancer	20q13.33	20	62345988	LAMA5	LAMA5	ENSG00000130702	rs4925386	2E-10	1.08
4266	Colorectal cancer	1q41	1	221991606	DUSP10	LINC02474 - LINC01705		rs6687758	2E-9	1.09
4523	Colorectal cancer	6q25.3	6	160419220	SLC22A3	SLC22A3	ENSG00000146477	rs7758229	8E-9	1.28
13937	Colorectal cancer	8q24.21	8	127401060	intergenic	CCAT2, CASC8, PCAT1, POU5F1B	ENSG00000280997, ENSG00000246228, ENSG00000253438, ENSG00000212993	rs6983267	7E-11	1.24
15174	Colorectal cancer	19q13.11	19	33041394	RHPN2	RHPN2	ENSG00000131941	rs10411210	5E-9	1.15
15175	Colorectal cancer	20p12.3	20	6423634	intergenic	AL109618.3 - CASC20		rs961253	2E-10	1.12
15176	Colorectal cancer	16q22.1	16	68787043	CDH1	CDH1	ENSG00000039068	rs9929218	1E-8	1.1
15177	Colorectal cancer	14q22.2	14	53944201	BMP4	AL138479.1 - MIR5580		rs4444235	8E-10	1.11
17651	Colorectal cancer	6p21.2	6	36655123	CDKN1A	RNU1-88P - RF00019		rs1321311	1E-10	1.1
17652	Colorectal cancer	11q13.4	11	74634505	POLD3	POLD3	ENSG00000077514	rs3824999	4E-10	1.08
17653	Colorectal cancer	Xp22.2	X	9783434	SHROOM2	GPR143	ENSG00000101850	rs5934683	7E-10	1.07
29481	Colorectal cancer	8q24.21	8	127395198	LOC101930033, CCAT2	PCAT1, CASC8, POU5F1B	ENSG00000253438, ENSG00000246228, ENSG00000212993	rs10505477	3E-22	1.19
